Product ID (#) *1,Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
1,Пастернак,5148,51,Овощи,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2013-01-01,2021-04-08,4.18,Refunded
2,Пакеты для уборки,9251,266,Товары для дома,Помогает сохранять бодрость и активность в течение дня.,2008-05-05,2026-02-02,4.74,Backorder
3,Каша из ржи,480,197,Бакалея,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,1993-03-04,2000-09-10,0.16,New
4,Новотерская,5599,501,Напитки,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2009-03-10,2015-05-10,1.57,Refunded
5,Персик,3971,683,Фрукты,"Отличается высоким содержанием витамина K, необходимого для свертывания крови и здоровья костей.",2000-01-19,2003-10-24,2.88,Awaiting Payment
6,Дыня,3970,29,Фрукты,Помогает улучшить когнитивные функции и память.,1996-01-26,2013-06-01,0.45,Sold
7,Клубника,6370,331,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",1999-03-04,2028-01-03,2.8,On Backorder
8,Черешня,2863,104,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,1990-02-20,2008-03-07,3.97,Pending
9,Темрюкская,379,674,Напитки,Помогает улучшать качество сна и снижать уровень тревожности.,2021-01-09,2021-04-21,4.06,Awaiting Payment
10,Моцарелла,6004,88,Молочные продукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",1997-03-19,2020-04-08,4.32,Cancelled
11,Инжир,4431,82,Фрукты,"Отличается высоким содержанием пиридоксина, необходимого для синтеза нейромедиаторов.",2006-01-17,2028-10-24,1.02,Sold
12,Люберецкая,9971,413,Напитки,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2005-06-10,2007-01-08,1.84,Awaiting Payment
13,Бекон,5279,115,Мясо,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2001-05-11,2020-03-07,2.16,Out of Stock
