product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Пакеты для Дня смеха,5536,64,Товары для дома,Способствует снижению уровня стресса и улучшению настроения.,1993-07-05,2024-05-03,4.85,Backorder
2,Домашние колбасы,3937,11,Мясо,Отличается простотой в использовании и хранении.,1993-02-25,2030-02-06,1.82,Out of Stock
3,Анис звездчатый,5740,207,Бакалея,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1994-08-06,2010-08-01,2.3,Awaiting Payment
4,Маринад для мяса,2491,990,Бакалея,Способствует нормализации обмена веществ в организме.,1995-01-01,2014-01-07,0.45,Awaiting Review
5,Боржоми,6507,71,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2015-05-04,2020-05-05,2.22,On Backorder
6,Саратовская,2509,411,Напитки,Подходит для использования в диетических программах для похудения.,2012-02-01,2021-09-19,1.42,Awaiting Review
7,Нижнесергиевская,8620,375,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,2010-01-08,2030-01-10,0.63,Refunded
8,Черешня,3285,164,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1999-02-11,2020-01-21,2.11,Pending
9,Адлеркурортная,7063,160,Напитки,Способствует поддержанию нормальной микрофлоры кишечника.,2007-01-03,2028-06-14,2.34,In Stock
10,Каша из дробленного риса,5543,870,Бакалея,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2013-01-15,2023-04-06,1.27,On Backorder
11,Мытищинская,9791,651,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2014-06-04,2023-03-01,3.25,Backorder
12,Кефир,5878,925,Молочные продукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2013-03-08,2021-01-05,1.88,Returned
13,Варенец,2932,686,Молочные продукты,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2011-02-04,2018-03-03,3.67,Pending
14,Айран,103,410,Молочные продукты,"Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",1998-04-01,2013-01-17,0.52,Shipping
15,Спаржа,3310,234,Овощи,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2013-01-14,2022-03-02,3.54,Returned
16,Мыло жидкое,5565,64,Товары для дома,"Отличается высоким содержанием пантотеновой кислоты, необходимой для метаболизма жиров, белков и углеводов.",1993-02-03,2015-03-07,1.33,Cancelled
17,Горох,4002,907,Овощи,Способствует улучшению работы пищеварительной системы.,1993-02-08,2015-05-01,0.56,Refunded
18,Зира молотая,5328,400,Бакалея,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",1992-04-21,2004-07-03,1.27,On Backorder
19,Адыгейский сыр,6691,579,Молочные продукты,Помогает поддерживать нормальный уровень эстрогенов у женщин.,1998-02-04,2020-01-26,2.14,Awaiting Payment
20,Моцарелла,1363,673,Молочные продукты,"Является источником важных нутриентов, необходимых для роста и развития детей.",2003-02-05,2013-07-02,2.42,Temporarily Unavailable
21,Груша,1085,956,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,1993-04-05,2026-02-01,0.63,Out of Stock
22,Пакеты для Дня космонавтики,4366,288,Товары для дома,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2009-05-11,2020-08-02,4.82,Backorder
23,Липецкий бювет,2924,579,Напитки,Помогает поддерживать здоровый цвет лица и упругость кожи.,2017-03-08,2023-01-07,1.27,Shipping
24,Фахитас с мясом,9407,813,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2006-09-01,2026-10-03,3.01,Out of Stock
25,Баклажан,3863,859,Овощи,Помогает улучшать качество сна и снижать уровень тревожности.,2020-02-07,2023-03-02,2.17,Awaiting Payment
26,Vittel,9298,812,Напитки,"Отличается высоким содержанием пробиотиков, улучшающих микрофлору кишечника.",1992-08-02,1998-02-08,1.66,Sold
27,Каша из кукурузной муки,3259,778,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2016-01-10,2027-01-03,1.44,Backorder
28,Творог,9730,217,Молочные продукты,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2018-03-03,2024-02-02,1.32,Available for Pickup
29,Инжир,6847,88,Фрукты,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2014-08-06,2018-02-03,1.01,Shipping
