product_id name price quantity category description production_date rating status
12 Кефир 5878 925 "Молочные продукты" "Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами." 2013-03-08 1.88 Returned
13 Варенец 2932 686 "Молочные продукты" "Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей." 2011-02-04 3.67 Pending
14 Айран 103 410 "Молочные продукты" "Отличается высоким содержанием даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы." 1998-04-01 0.52 Shipping
19 "Адыгейский сыр" 6691 579 "Молочные продукты" "Помогает поддерживать нормальный уровень эстрогенов у женщин." 1998-02-04 2.14 "Awaiting Payment"
20 Моцарелла 1363 673 "Молочные продукты" "Является источником важных нутриентов, необходимых для роста и развития детей." 2003-02-05 2.42 "Temporarily Unavailable"
28 Творог 9730 217 "Молочные продукты" "Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина." 2018-03-03 1.32 "Available for Pickup"
46 Простокваша 8836 944 "Молочные продукты" "Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами." 1993-05-17 4.94 "Out of Stock"
56 Айран 3609 495 "Молочные продукты" "Подходит для использования в качестве замены традиционных молочных продуктов." 2022-01-06 2.33 "Available for Pickup"
71 "Топлёное молоко" 2350 999 "Молочные продукты" "Имеет низкий гликемический индекс, что делает его безопасным для диабетиков." 1990-03-08 3.93 Backorder
74 Эмменталь 5767 802 "Молочные продукты" "Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы." 2018-02-07 1.3 "Temporarily Unavailable"
79 Ряженка 6454 700 "Молочные продукты" "Подходит для использования в специализированных диетах и лечебных программах." 2012-01-15 1.94 Returned
82 Камамбер 1179 538 "Молочные продукты" "Помогает поддерживать нормальный уровень мочевой кислоты в организме." 1994-06-04 0.12 Pending
93 Гауда 8430 222 "Молочные продукты" "Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами." 2010-10-02 0.3 "Available for Pickup"
102 Мороженое 2443 649 "Молочные продукты" "Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина." 2005-01-10 1.43 Cancelled
103 "Масло сливочное" 1319 539 "Молочные продукты" "Помогает нормализовать артериальное давление и уровень холестерина." 2016-10-03 1.57 Refunded
112 Тан 4371 692 "Молочные продукты" "Может быть использован в выпечке для придания ей особой пышности и аромата." 1998-03-01 4.84 Shipping
113 Ряженка 2969 246 "Молочные продукты" "Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака." 1991-01-26 1.13 "Awaiting Payment"
121 Молоко 1202 114 "Молочные продукты" "Рекомендуется для включения в рацион беременных женщин и кормящих матерей." 2010-08-04 0.39 "On Backorder"
122 "Голландский сыр" 8296 823 "Молочные продукты" "Способствует снижению уровня стресса и улучшению настроения." 1998-02-02 4.71 "Out of Stock"
128 "Масло сливочное" 4167 220 "Молочные продукты" "Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов." 2022-05-03 2.8 Pending
